"","content","video_name.VIDEO_NAMEEminem - Love The Way You Lie ft. Rihanna","video_name.VIDEO_NAMEKaty Perry - Roar","video_name.VIDEO_NAMELMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock","video_name.VIDEO_NAMEPSY - GANGNAM STYLE(?????) M/V","video_name.VIDEO_NAMEShakira - Waka Waka","class","date_missing","year","month","day","hour","minute","second","week","quarter","day_of_year","week_of_year","weekend","hour_sin","hour_cos","weekday_num","weekday_sin","weekday_cos","month_sin","month_cos","author_freq","cpt_ratio","has_url","contains_out","contains_check","contains_please","contains_youtube","contains_subscribe","contains_video","contains_channel","contains_money","contains_follow","word_count"
"37","Hi, nice song Shakira! (Sorry for bad Brazilian)",0,0,0,0,1,0,0,2015, 5,19,23,29,31,20,2,139,21,0,-2.588190e-01, 9.659258e-01,3, 4.338837e-01,-0.9009689, 5.000000e-01,-8.660254e-01,1,0.108108108,0,0,0,0,0,0,0,0,0,0,  8
"38","Huh, anyway check out this you[tube] channel: kobyoshi02",0,0,0,1,0,1,0,2013,11, 7, 6,20,48,45,4,311,45,0, 1.000000e+00, 6.123032e-17,5,-9.749279e-01,-0.2225209,-5.000000e-01, 8.660254e-01,1,0.023255814,0,1,1,0,0,0,0,1,0,0,  8
"39","Subscribe and like to me for more how to videos on minecraft!",0,0,0,1,0,1,0,2014, 1,20,20,23,35, 3,1, 20, 4,0,-8.660254e-01, 5.000000e-01,2, 9.749279e-01,-0.2225209, 5.000000e-01, 8.660254e-01,1,0.020408163,0,0,0,0,0,0,0,0,0,0, 12
"40","Check out this video on YouTube: Eminem is amazing.",1,0,0,0,0,1,1,2014,11, 8,11, 0,19,45,4,312,45,1, 2.588190e-01,-9.659258e-01,7,-2.449213e-16, 1.0000000,-5.000000e-01, 8.660254e-01,1,0.088888889,0,1,0,0,0,0,1,0,0,0,  9
"41","Youtube comments in a nut shell: .First .301 club .Skip to 3:57 and close your eyes .Advertisements .like this comment for no reason .Christianity arguements .Other religious arguements .Console wars .#PCMASTERACE .Trolls .""How is there 1 million views on the this video if theres online 10 people on earth/ .Complaints .Pewdiepie fangirls .Minecraft scrubs ./r/MontageParodies AND ANY OTHER SHIT!!",0,0,1,0,0,1,0,2015, 2,10,19,48,56, 6,1, 41, 7,0,-9.659258e-01, 2.588190e-01,3, 4.338837e-01,-0.9009689, 8.660254e-01, 5.000000e-01,1,0.112244898,0,0,0,0,0,0,1,0,0,0, 59
"42","http://thepiratebay.se/torrent/6381501/Timothy_Sykes_Collection",0,0,0,1,0,1,0,2014,11, 4, 2,22, 6,44,4,308,45,0, 5.000000e-01, 8.660254e-01,3, 4.338837e-01,-0.9009689,-5.000000e-01, 8.660254e-01,3,0.063829787,1,0,0,0,0,0,0,0,0,0,  1
"43","imagine if this guy put adsense on with all these views... u could pay ur morgage",0,0,0,1,0,0,0,2014,11,13, 0,58,20,46,4,317,46,0, 0.000000e+00, 1.000000e+00,5,-9.749279e-01,-0.2225209,-5.000000e-01, 8.660254e-01,1,0.000000000,0,0,0,0,0,0,0,0,0,0, 16
"44","Katy Perry - Roar (Official): http://youtu.be/CevxZvSJLk8",0,1,0,0,0,0,0,2014,10,14, 3,29,19,41,4,287,42,0, 7.071068e-01, 7.071068e-01,3, 4.338837e-01,-0.9009689,-8.660254e-01, 5.000000e-01,1,0.214285714,1,0,0,0,0,0,0,0,0,0,  6
"45","Remeber the good ol&#39; days when songs weren&#39;t about butts.",0,0,1,0,0,0,0,2015, 5,26, 2, 3,46,21,2,146,22,0, 5.000000e-01, 8.660254e-01,3, 4.338837e-01,-0.9009689, 5.000000e-01,-8.660254e-01,1,0.022222222,0,0,0,0,0,0,0,0,0,0, 10
"46","http://thepiratebay.se/torrent/10626835/The.Expendables.3.2014.DVDSCR.Xvid-DiNGO",0,1,0,0,0,1,0,2014, 9,19,23,15,14,38,3,262,38,0,-2.588190e-01, 9.659258e-01,6,-7.818315e-01, 0.6234898,-1.000000e+00,-1.836910e-16,3,0.240740741,1,0,0,0,0,0,0,0,0,0,  1
"47","Nice",0,0,1,0,0,0,0,2015, 5,26,16, 2, 7,21,2,146,22,0,-8.660254e-01,-5.000000e-01,3, 4.338837e-01,-0.9009689, 5.000000e-01,-8.660254e-01,1,0.250000000,0,0,0,0,0,0,0,0,0,0,  1
"48","Is this the video that started the whole ""got my dick stuck in an elevator"" excuse thing?",0,0,0,1,0,0,0,2014,11, 7,19,47, 6,45,4,311,45,0,-9.659258e-01, 2.588190e-01,6,-7.818315e-01, 0.6234898,-5.000000e-01, 8.660254e-01,1,0.014285714,0,0,0,0,0,0,1,0,0,0, 17
"49","Check out this video on YouTube:",1,0,0,0,0,1,1,2014,11, 8,11, 0,19,45,4,312,45,1, 2.588190e-01,-9.659258e-01,7,-2.449213e-16, 1.0000000,-5.000000e-01, 8.660254e-01,1,0.115384615,0,1,0,0,0,0,1,0,0,0,  6
"50","super",1,0,0,0,0,0,0,2015, 5,21, 2,11,54,21,2,141,21,0, 5.000000e-01, 8.660254e-01,5,-9.749279e-01,-0.2225209, 5.000000e-01,-8.660254e-01,1,0.000000000,0,0,0,0,0,0,0,0,0,0,  1
"51","https://www.facebook.com/tofikmiedzynB/photos/a.1496273723978022.1073741828.1496241863981208/1498561870415874/?type=1&theater",0,0,0,1,0,1,0,2014,11,13,21,48,26,46,4,317,46,0,-7.071068e-01, 7.071068e-01,5,-9.749279e-01,-0.2225209,-5.000000e-01, 8.660254e-01,1,0.018867925,1,0,0,0,0,0,0,0,0,0,  1
"52","katy is mine the girl of my dreams",0,1,0,0,0,0,0,2014,10,21,18,16,46,42,4,294,43,0,-1.000000e+00,-1.836910e-16,3, 4.338837e-01,-0.9009689,-8.660254e-01, 5.000000e-01,1,0.000000000,0,0,0,0,0,0,0,0,0,0,  8
"53","so cute that monkey *-*!",0,1,0,0,0,0,0,2014, 9,23,14,55,49,38,3,266,39,0,-5.000000e-01,-8.660254e-01,3, 4.338837e-01,-0.9009689,-1.000000e+00,-1.836910e-16,1,0.000000000,0,0,0,0,0,0,0,0,0,0,  5
"54","8 million likes xD even the subscribers not 8 million xD",0,0,0,1,0,0,0,2014,11, 4,18,30,39,44,4,308,45,0,-1.000000e+00,-1.836910e-16,3, 4.338837e-01,-0.9009689,-5.000000e-01, 8.660254e-01,1,0.045454545,0,0,0,0,0,0,0,0,0,0, 11
"55","plz i wilsubscribe me frndzzl subscribe u back",0,0,0,0,1,1,0,2013,10,21, 7,18,41,42,4,294,43,0, 9.659258e-01,-2.588190e-01,2, 9.749279e-01,-0.2225209,-8.660254e-01, 5.000000e-01,1,0.000000000,0,0,0,0,0,1,0,0,0,0,  8
"56","Check Out The New Hot Video By Dante B Called Riled Up",1,0,0,0,0,1,1,2014,11, 8,11, 0,19,45,4,312,45,1, 2.588190e-01,-9.659258e-01,7,-2.449213e-16, 1.0000000,-5.000000e-01, 8.660254e-01,5,0.279069767,0,0,0,0,0,0,0,0,0,0, 12
"57","Check out this video on YouTube:",0,0,1,0,0,1,0,2015, 2,23, 0,37,24, 8,1, 54, 9,0, 0.000000e+00, 1.000000e+00,2, 9.749279e-01,-0.2225209, 8.660254e-01, 5.000000e-01,1,0.100000000,0,1,0,0,0,0,1,0,0,0,  6
"58","This is my favorite song ever love this Party Rock It Everybody!!!!",0,0,1,0,0,0,0,2015, 5,22,13,54,59,21,2,142,21,0,-2.588190e-01,-9.659258e-01,6,-7.818315e-01, 0.6234898, 5.000000e-01,-8.660254e-01,1,0.096153846,0,0,0,0,0,0,0,0,0,0, 12
"59","Glad to know im not the only one who knows its katheryn's birthday today :) happy birthday katy...and my sister. (they seriously have the same birthday...)",0,1,0,0,0,0,0,2014,10,25,20,10,35,43,4,298,43,1,-8.660254e-01, 5.000000e-01,7,-2.449213e-16, 1.0000000,-8.660254e-01, 5.000000e-01,1,0.008474576,0,0,0,0,0,0,0,0,0,0, 26
"60","the most viewed youtube video of all time?",0,0,0,1,0,0,0,2014, 1,21, 3,18,31, 3,1, 21, 4,0, 7.071068e-01, 7.071068e-01,3, 4.338837e-01,-0.9009689, 5.000000e-01, 8.660254e-01,1,0.000000000,0,0,0,0,1,0,1,0,0,0,  8
"61","Check out this video on YouTube:",0,0,1,0,0,1,0,2015, 5,26, 6,19,34,21,2,146,22,0, 1.000000e+00, 6.123032e-17,3, 4.338837e-01,-0.9009689, 5.000000e-01,-8.660254e-01,1,0.115384615,0,1,0,0,0,0,1,0,0,0,  6
"62","She is perfect! <3",0,0,0,0,1,0,0,2013,10, 2, 3, 8,55,40,4,275,40,0, 7.071068e-01, 7.071068e-01,4,-4.338837e-01,-0.9009689,-8.660254e-01, 5.000000e-01,1,0.071428571,0,0,0,0,0,0,0,0,0,0,  4
"63","I fucking hate her. Why? Because she don't write her songs she got producers for that. Second why tha fack is she in every song almost nude mayby because she's an attention hooker.",0,1,0,0,0,0,0,2014,10,26, 8,38,36,43,4,299,43,1, 8.660254e-01,-5.000000e-01,1, 7.818315e-01, 0.6234898,-8.660254e-01, 5.000000e-01,1,0.028169014,0,0,0,0,0,0,0,0,0,0, 33
"64","follower please https://www.facebook.com/lists/161620527267482",0,0,0,1,0,1,0,2014,11, 8,11, 0,19,45,4,312,45,1, 2.588190e-01,-9.659258e-01,7,-2.449213e-16, 1.0000000,-5.000000e-01, 8.660254e-01,1,0.000000000,1,0,0,1,0,0,0,0,0,0,  3
"65","I love KATY PERRY <3 <3",0,1,0,0,0,0,0,2014, 9,13,15, 5,13,37,3,256,37,1,-7.071068e-01,-7.071068e-01,7,-2.449213e-16, 1.0000000,-1.000000e+00,-1.836910e-16,1,0.555555556,0,0,0,0,0,0,0,0,0,0,  6
"66","Hi! I would appreciate it if you all could help to like this poster on Facebook: https://www.facebook.com/nyghdramafest2014/photos/a.333608120156973.1073741830.327568907427561/333607726823679/?type=3&theater",0,1,0,0,0,1,0,2014,10,18,12,41,41,42,4,291,42,1, 1.224606e-16,-1.000000e+00,7,-2.449213e-16, 1.0000000,-8.660254e-01, 5.000000e-01,1,0.025862069,1,0,0,0,0,0,0,0,0,0, 17
"67","Fire..",1,0,0,0,0,0,0,2015, 5,21,17,41,48,21,2,141,21,0,-9.659258e-01,-2.588190e-01,5,-9.749279e-01,-0.2225209, 5.000000e-01,-8.660254e-01,1,0.250000000,0,0,0,0,0,0,0,0,0,0,  1
"68","Check out pivot animations in my channel",0,0,0,1,0,1,0,2014,11, 6, 2,22, 0,45,4,310,45,0, 5.000000e-01, 8.660254e-01,5,-9.749279e-01,-0.2225209,-5.000000e-01, 8.660254e-01,1,0.029411765,0,1,0,0,0,0,0,1,0,0,  7
"69","Follow me on twitter & IG : __killuminati94",0,0,0,1,0,1,0,2014,11, 6, 2,39, 7,45,4,310,45,0, 5.000000e-01, 8.660254e-01,5,-9.749279e-01,-0.2225209,-5.000000e-01, 8.660254e-01,1,0.090909091,0,0,0,0,0,0,0,0,0,0,  8
"70","Me and my aunt love this song!!!!!",0,0,0,0,1,0,0,2015, 5,19,19, 5,28,20,2,139,21,0,-9.659258e-01, 2.588190e-01,3, 4.338837e-01,-0.9009689, 5.000000e-01,-8.660254e-01,2,0.043478261,0,0,0,0,0,0,0,0,0,0,  7
"71","I swear Shakira keeps getting more and more gorgeous! She definitely looks more gorgeous with her hair this way than super curly.",0,0,0,0,1,0,0,2015, 5,24, 1,36,23,21,2,144,21,1, 2.588190e-01, 9.659258e-01,1, 7.818315e-01, 0.6234898, 5.000000e-01,-8.660254e-01,1,0.028301887,0,0,0,0,0,0,0,0,0,0, 22
"72","He gets more views but has less subscribers lol",1,0,0,0,0,1,1,2014,11, 8,11, 0,19,45,4,312,45,1, 2.588190e-01,-9.659258e-01,7,-2.449213e-16, 1.0000000,-5.000000e-01, 8.660254e-01,1,0.025641026,0,0,0,0,0,0,0,0,0,0,  9
"73","the song is sad",0,0,0,0,1,0,0,2015, 5,25,14, 5,18,21,2,145,22,0,-5.000000e-01,-8.660254e-01,2, 9.749279e-01,-0.2225209, 5.000000e-01,-8.660254e-01,1,0.000000000,0,0,0,0,0,0,0,0,0,0,  4
"74","Cool Video LMFAOVEVO! You should check out my shuffling videos on my channel when you get the chance. It&#39;s much appreciated. Cheers! #EveryDayImVaping ;-)",0,0,1,0,0,1,0,2015, 3,11, 1,25,46,10,1, 70,11,0, 2.588190e-01, 9.659258e-01,4,-4.338837e-01,-0.9009689, 1.000000e+00, 6.123032e-17,1,0.117021277,0,1,1,0,0,0,0,1,0,0, 24
"75","I started hating Katy Perry after finding out that she stole all of the ideas on her videos from an old comic book. Yet, her music is catchy.",0,1,0,0,0,0,0,2014, 9,15,18,27,56,37,3,258,38,0,-1.000000e+00,-1.836910e-16,2, 9.749279e-01,-0.2225209,-1.000000e+00,-1.836910e-16,1,0.036036036,0,1,0,0,0,0,0,0,0,0, 28
"76","https://www.facebook.com/pages/Hiphop-Express/704682339621282 like this page yo",0,1,0,0,0,1,0,2014,10, 2,13,17,36,40,4,275,40,0,-2.588190e-01,-9.659258e-01,5,-9.749279e-01,-0.2225209,-8.660254e-01, 5.000000e-01,1,0.039215686,1,0,0,0,0,0,0,0,0,0,  5
"77","Love your songs Supper cool",1,0,0,0,0,0,0,2015, 5,20, 0,49,34,20,2,140,21,0, 0.000000e+00, 1.000000e+00,4,-4.338837e-01,-0.9009689, 5.000000e-01,-8.660254e-01,1,0.074074074,0,0,0,0,0,0,0,0,0,0,  5
"78","Hiya I just started YouTube and it would mean a lot if some of you could subscribe and watch my first video?xx",0,1,0,0,0,1,0,2014, 8,20, 2,55,54,34,3,232,34,0, 5.000000e-01, 8.660254e-01,4,-4.338837e-01,-0.9009689,-8.660254e-01,-5.000000e-01,1,0.045454545,0,0,0,0,0,1,1,0,0,0, 22
"79","This song never gets old love it.",0,0,0,1,0,0,0,2014,11, 4,22, 7,22,44,4,308,45,0,-5.000000e-01, 8.660254e-01,3, 4.338837e-01,-0.9009689,-5.000000e-01, 8.660254e-01,1,0.038461538,0,0,0,0,0,0,0,0,0,0,  7
"80","Hey Music Fans I really appreciate any of you who will take the time to read this, and check my music out! I&#39;m just a 15 year old boy DREAMING of being a successful MUSICIAN in the music world. I do lots of covers, and piano covers. But I don&#39;t have money to advertise. A simple thumbs up to my comment, a comment on my videos or a SUBSCRIPTION would be a step forward! It will only be a few seconds of your life that you won&#39;t regret!!! Thank u to all the people who just give me a chance! :)",0,0,0,0,1,1,0,2013, 9,29,13,59,42,39,3,272,39,1,-2.588190e-01,-9.659258e-01,1, 7.818315e-01, 0.6234898,-1.000000e+00,-1.836910e-16,6,0.104278075,0,1,1,0,0,0,0,0,1,0,101
"81","Its funny because I listen to rock and death metal. But i like this.",0,0,1,0,0,0,0,2015, 5,18,15, 0,30,20,2,138,21,0,-7.071068e-01,-7.071068e-01,2, 9.749279e-01,-0.2225209, 5.000000e-01,-8.660254e-01,1,0.056603774,0,0,0,0,0,0,0,0,0,0, 14
"82","Hey, I am doing the Forty Hour famine so I&#39;ll be giving up on food and social working for 40 hours. I&#39;m doing this to raise money for African people who can&#39;t experience the luxuries that we can. So can you donate to give them a chance? Any amount would do :) Click on the link and donate h t t p : / / 4 0 h f . c o m . a u / A n t h o n y L a m Thanks :)",0,0,0,0,1,1,0,2013, 7,29, 8,59,24,30,3,210,31,0, 8.660254e-01,-5.000000e-01,2, 9.749279e-01,-0.2225209,-5.000000e-01,-8.660254e-01,1,0.052631579,0,0,0,0,0,0,0,0,1,0, 89
